type,name,notice,furigana
燃やさないごみ,衣類,,い
燃やさないごみ,がれき類,,が
資源,紙製容器包装,,か
資源,発泡スチロール,,は
資源,プラ製容器包装,,ぷ
燃やすごみ,草ごみ,,く
燃やすごみ,生ごみ,,な
びん,一升びん,酒屋さんなどへ返しましょう・キャップを外してひと洗い,い
びん,ウィスキーのびん,キャップを外してひと洗い・割れたものも回収します,う
びん,カップ酒のびん,キャップを外してひと洗い,か
